45.13 0 3.43 108 60.53 0 9.79 89 0 0 0 0 0 0 1 0 0 0
59.17 0.0008 5.52 149 60.54 0.0006 6.78 65 0 0 1 0 0 0 0 0 0 -5
59.17 0.0008 5.52 149 60.54 0.0006 6.78 65 0 0 1 0 0 0 0 0 0 0
59.17 0.0008 5.52 149 60.54 0.0006 6.78 65 0 0 1 0 0 0 0 0 0 0
59.11 0 3.02 145 62.2 0.0004 4.59 323 0 0 1 0 0 0 0 0 0 0
59.11 0 3.02 145 62.2 0.0004 4.59 323 0 0 0 1 0 0 0 0 0 0
59.11 0 3.02 145 62.2 0.0004 4.59 323 0 0 0 0 0 0 1 0 0 0
55.62 0.0002 7.97 270 53.95 0 2.27 271 0 0 0 0 0 0 1 0 0 0
55.62 0.0002 7.97 270 53.95 0 2.27 271 0 0 1 0 0 0 0 0 0 -8
55.62 0.0002 7.97 270 53.95 0 2.27 271 0 0 0 0 0 0 1 0 0 0
55.62 0.0002 7.97 270 53.95 0 2.27 271 0 0 0 0 0 0 1 0 0 0
60.91 0 4.96 151 57.13 0 2.65 180 0 0 1 0 0 0 0 0 0 -3
60.91 0 4.96 151 57.13 0 2.65 180 0 0 1 0 0 0 0 0 0 0
60.91 0 4.96 151 57.13 0 2.65 180 0 0 0 0 0 0 1 0 0 0
60.91 0 4.96 151 57.13 0 2.65 180 0 0 0 0 0 0 1 0 0 0
55.57 0 5.81 251 56.93 0 1.93 192 0 0 0 1 0 0 0 0 0 0
55.57 0 5.81 251 56.93 0 1.93 192 0 0 0 0 1 0 0 0 0 -6
55.57 0 5.81 251 56.93 0 1.93 192 0 0 0 0 0 0 1 0 0 0
55.57 0 5.81 251 56.93 0 1.93 192 0 0 0 0 0 0 1 0 0 0
55.58 0.0003 5.82 221 60.42 0 1.43 23 0 0 0 0 1 0 0 0 0 -2
55.58 0.0003 5.82 221 60.42 0 1.43 23 0 0 1 0 0 0 0 0 0 0
55.58 0.0003 5.82 221 60.42 0 1.43 23 0 0 0 0 0 0 1 0 0 0
55.58 0.0003 5.82 221 60.42 0 1.43 23 0 0 1 0 0 0 0 0 0 0
50.26 0 4.79 231 57.45 0.0003 5.21 336 0 0 0 0 0 0 1 0 0 -5
